1, 0.1, 0.1, 0.1, 0.05, 0.1, 0
1025, 1.4, 0.4, 0.357992, 0.0909357, 0, 0
2049, 1.3, 0.4, 0.643317, 0.0944878, 0, 0
3073, 10, 0.3, 0.92661, 0.0981783, 0, 0
4097, 2.4, 0.3, 1.21852, 0.093509, 0, 0
5121, 5.1, 0.3, 1.47968, 0.10285, 0, 0
6145, 10.4, 0.4, 1.78277, 0.0966157, 0, 0
7169, 9.4, 0.3, 2.13192, 0.100739, 0, 0
8193, 10.6, 0.5, 2.35633, 0.0997071, 0, 0
9217, 111.3, 0.8, 2.76193, 0.103233, 0, 0
10241, 14, 0.5, 3.07477, 0.104823, 0, 0
11265, 422.8, 1, 3.279, 0.102885, 0, 0
12289, 14.3, 1, 3.7425, 0.103092, 0, 0
13313, 88.4, 35, 4.21709, 0.108953, 0, 0
14337, 101.8, 23, 4.51797, 0.109604, 0, 0
15361, 303.6, 0.4, 4.86316, 0.108261, 0, 0
16385, 18.8, 0.4, 5.09573, 0.109148, 0, 0
17409, 240.9, 3, 5.42747, 0.11081, 0, 0
18433, 19.6, 6.6, 5.74742, 0.110616, 0, 0
19457, 22.6, 0.4, 5.97615, 0.109292, 0, 0
20481, 20.5, 1.5, 6.3323, 0.110517, 0, 0
21505, 23.2, 0.8, 6.79628, 0.112601, 0, 0
22529, 30.4, 0.4, 7.02929, 0.112628, 0, 0
23553, 78.2, 1.1, 7.45895, 0.115386, 0, 0
24577, 215, 0.5, 7.69834, 0.116096, 0, 0
25601, 212.3, 1.2, 8.01633, 0.119631, 0, 0
26625, 3678, 9.4, 8.58911, 0.126155, 0, 0
27649, 12597.9, 1.5, 8.98783, 0.124488, 0, 0
